Index,Chinese,Pingyin,English,Level
4965,强盗,qiáng dào,robber; bandit,6
4966,强化,qiáng huà,strengthen; intensify;  strengthening,6
4967,强势,qiáng shì,strong; mighty,6
4968,强壮,qiáng zhuàng,strong; sturdy; robust,6
4969,桥梁,qiáoliáng,bridge,6
4970,巧妙,qiǎomiào,clever,6
4971,茄子,qié zi,eggplant,6
4972,切实,qièshí,practical,6
4973,侵犯,qīnfàn,Violation,6
4974,亲属,qīn shǔ,kinsfolk; relatives; cognate,6
4975,亲眼,qīn yǎn,with one's own eyes;  personally,6
4976,倾向,qīngxiàng,inclination,6
4977,清,qīng,clear; quiet; distinct;  thoroughly; the Qing  Dynasty,6
4978,清洁,qīngjié,clean,6
4979,清洁工,qīng jié gōng,dustman; cleaner,6
4980,清明节,qīng míng jié,Tomb -Sweeping Day; Ching,6
4981,清洗,qīng xǐ,wash; clean; rinse; purge;  comb out,6
4982,情绪,qíngxù,emotion,6
4983,求职,qiú zhí,job hunting; job wanted,6
4984,球拍,qiú pāi,racket; racquet,6
4985,球星,qiú xīng,star,6
4986,球员,qiú yuán,player,6
4987,区分,qūfēn,Distinguish,6
4988,渠道,qúdào,channel,6
4989,取款,qǔ kuǎn,withdrawal,6
4990,取款机,qǔ kuǎn jī,ATM; cash dispenser,6
4991,去掉,qù diào,get rid of; do away with;  take out,6
4992,权,quán,power; authority; right;  tentatively,6
4993,权力,quánlì,power,6
4994,全力,quán lì,full force; all -out; sparing no  effort,6
4995,全新,quán xīn,new; brand new,6
4996,券,quàn,certificate; ticket,6
4997,缺陷,quēxiàn,defect,6
4998,却是,què shì,nevertheless; however,6
4999,让座,ràng zuò,offer one's seat to sb.,6
5000,热点,rè diǎn,hot spot; hot point,6
5001,热水,rè shuǐ,hot water,6
5002,热水器,rè shuǐ qì,water heater; hot -water  heater,6
5003,热线,rè xiàn,hotline,6
5004,人权,rén quán,human rights,6
5005,认同,rèn tóng,identify with; self -identity;  acknowledge,6
5006,日夜,rì yè,day and night; round the  clock,6
5007,日语,rì yǔ,Japanese language,6
5008,融合,róng hé,fuse; merge; mix,6
5009,融入,róng rù,assimilate into; blend in,6
5010,如,rú,as; if; according to,6
5011,如一,rú yī,consistent,6
5012,乳制品,rǔ zhì pǐn,dairy product,6
5013,入,rù,enter; join; income,6
5014,入学,rù xué,admission; start school,6
5015,若,ruò,like; seem; as; if,6
5016,塞,sāi,fill in; squeeze; stuff; stopper,6
5017,赛,sài,match; compete; contest;  competition,6
5018,赛场,sài chǎng,arena; competition terrain,6
5019,三明治,sān míng zhì,sandwich,6
5020,丧失,sàngshī,lose,6
5021,山峰,shān fēng,mountain peak,6
5022,山谷,shān gǔ,valley,6
5023,山坡,shān pō,hillside; mountain slope,6
5024,伤口,shāng kǒu,wound; cut,6
5025,伤亡,shāng wáng,injuries and deaths;  casualties,6
5026,伤员,shāng yuán,wounded,6
5027,商城,shāng chéng,mall,6
5028,上当,shàngdàng,be fooled,6
5029,上帝,shàng dì,God,6
5030,上市,shàng shì,appear on the market; listed,6
5031,上台,shàng tái,appear on the stage; come  into power,6
5032,上演,shàng yǎn,perform; staged; put on the  stage,6
5033,勺,sháo,spoon,6
5034,少儿,shào ér,children,6
5035,舌头,shétou,Tongue,6
5036,设计师,shè jì shī,designer,6
5037,涉及,shèjí,Involve,6
5038,深化,shēn huà,deepen; intensify,6
5039,深深,shēn shēn,deeply; profoundly; deep,6
5040,审查,shěnchá,Examination,6
5041,升级,shēng jí,upgrade; be stepped up;  escalate,6
5042,升学,shēng xué,enter a higher school,6
5043,升值,shēng zhí,appreciation; appreciate;  increase in value,6
5044,生活费,shēng huó fèi,living expenses; cost of  living; alimony,6
5045,省钱,shěng qián,save money,6
5046,圣诞节,shèng dàn jié,Christmas,6
5047,盛行,shèngxíng,Prevalence,6
5048,师父,shī,fu master; a polite form of  address to a monk or nun,6
5049,师生,shī shēng,teacher and student,6
5050,时而,shí'ér,from time to time; now …  now …,6
5051,时节,shí jié,season; time,6
5052,时期,shíqī,period,6
5053,时时,shí shí,often; constantly,6
5054,时装,shí zhuāng,fashion; fashionable dress,6
5055,识,shí,knowledge; know;  remember,6
5056,识字,shí zì,learn to read; literacy,6
5057,实践,shíjiàn,practice,6
5058,食欲,shí yù,appetite,6
5059,市民,shì mín,citizen; city resident,6
5060,事后,shì hòu,after the event; afterwards,6
5061,试点,shì diǎn,pilot; launch a pilot project,6
5062,适当,shì dàng,suitable; proper; appropriate,6
5063,收藏,shōucáng,Collection,6
5064,收取,shōu qǔ,charge,6
5065,收养,shōu yǎng,adoption; adopt,6
5066,手续费,shǒu xù fèi,handling fee; commission  charges,6
5067,首（名）,shǒu,head; leader; chief; aspect,6
5068,首次,shǒu cì,for the first time; first,6
5069,首脑,shǒu nǎo,head; leader; headman,6
5070,首席,shǒu xí,chief; seat of honor,6
5071,首相,shǒu xiàng,prime minister,6
5072,书房,shū fáng,study,6
5073,薯片,shǔ piàn,chips; crisps; potato chips,6
5074,薯条,shǔ tiáo,french fries,6
5075,双打,shuāng dǎ,doubles; pair game,6
5076,爽,shuǎng,bright; clear; frank;  straightforward;  openhearted; feel well,6
5077,水泥,shuǐní,cement,6
5078,税,shuì,tax,6
5079,顺,shùn,along; with; obey; yield to;  listen to; incidentally; in  passin,6
5080,说明书,shuō míng shū,manual; synopsis,6
5081,说实话,shuō shí huà,to be frank; tell the truth; to  be honest,6
5082,司长,sī zhǎng,director; department Chief,6
5083,死亡,sǐwáng,death,6
5084,四处,sì chù,around; all over the place; in  all directions,6
5085,寺,sì,temple,6
5086,送礼,sòng lǐ,present; send gifts,6
5087,送行,sòng xíng,see off; give a send -off party,6
5088,素质,sùzhì,quality,6
5089,算了,suàn le,forget it,6
5090,算是,suàn shì,at last; be considered,6
5091,虽,suī,though; although; even if,6
5092,岁数,suì shù,age,6
5093,所（助）,suǒ,(auxiliary word),6
5094,踏实,tāshi,"earnest, steady and sure",6
5095,塔,tǎ,tower,6
5096,踏,tà,step on; stamp; tread;  trample,6
5097,台灯,tái dēng,desk lamp; table lamp;  reading lamp,6
5098,太阳能,tài yáng néng,solar energy,6
5099,叹气,tànqì,Sigh,6
5100,探索,tànsuǒ,explore,6
5101,探讨,tàntǎo,discuss; probe into,6
5102,趟,tàng,Trip,6
5103,掏,tāo,Dig,6
5104,特,tè,particular; special;  exceptional; unusual;  especially; very,6
5105,特大,tè dà,especially big; most,6
5106,特地,tè dì,for a special purpose;  specially,6
5107,特快,tè kuài,express,6
5108,特意,tèyì,specially,6
5109,疼痛,téng tòng,pain; ache; soreness,6
5110,踢,tī,kick,6
5111,提交,tí jiāo,submit; refer,6
5112,提升,tí shēng,promote; hoist; elevate;  promotion,6
5113,天然,tiān rán,natura,6
5114,天堂,tiāntáng,heaven,6
5115,天下,tiān xià,world,6
5116,添,tiān,add; increase; have a baby,6
5117,田,tián,field; farm,6
5118,田径,tiánjìng,Athletics,6
5119,跳水,tiào shuǐ,dive; diving,6
5120,听取,tīng qǔ,listen to; hear,6
5121,通报,tōng bào,circulate a notice; circular;  bulletin; journal,6
5122,通道,tōng dào,access; aisle; passage;  passageway,6
5123,通红,tōng hóng,flush; very red,6
5124,通话,tōng huà,call; converse; communicate  by phone,6
5125,通行,tōng xíng,go through; pass through;  current; general,6
5126,通讯,tōngxùn,communication,6
5127,同,tóng,same; similar; alike; like;  together,6
5128,同胞,tóngbāo,Compatriot,6
5129,同行,tóng háng,peer; of the same trade or  occupation; person of the  same occupation,6
5130,同期,tóng qī,corresponding time period;  the same period,6
5131,同一,tóng yī,same; identical,6
5132,铜牌,tóng pái,bronze medal; copper medal,6
5133,头疼,tóu téng,headache,6
5134,投票,tóupiào,vote,6
5135,透露,tòulù,disclose,6
5136,图书,tú shū,books,6
5137,徒弟,túdì,Apprentice,6
5138,途径,tújìng,channel,6
5139,土（形）,tǔ,local; native; folk;,6
5140,团队,tuán duì,team,6
5141,推出,tuī chū,roll out; push -off,6
5142,退票,tuì piào,refund; return a ticket,6
5143,吞,tūn,swallow; gulp; annex;  possess,6
5144,托,tuō,support from under; set off;  entrust; plead; rely,6
5145,拖,tuō,pull; drag; draw; haul; trail;  drag on,6
5146,拖鞋,tuō xié,slipper,6
5147,挖,wā,dig; excavate; scoop,6
5148,娃娃,wáwa,A doll,6
5149,哇,wa,wow,6
5150,外币,wài bì,foreign currency,6
5151,外部,wài bù,outside; external; exterior,6
5152,外出,wài chū,go out,6
5153,外观,wài guān,exterior; outward  appearance; outward,6
5154,外科,wài kē,surgery; surgical department,6
5155,外来,wài lái,foreign; external; outside,6
5156,外头,wài,tou outside,6
5157,外衣,wài yī,coat; jacket; outer clothing;  garb; overclothes;  semblance,6
5158,外资,wài zī,foreign investment,6
5159,弯曲,wān qū,winding; meandering;  zigzag; crook; curved;  bending; bend,6
5160,顽皮,wán pí,naughty; mischievous,6
5161,顽强,wánqiáng,Tenacious,6
5162,王后,wáng hòu,queen,6
5163,王子,wángzǐ,prince,6
5164,网吧,wǎng bā,internet cafe; internet bar,6
5165,网页,wǎng yè,web page,6
5166,往后,wǎng hòu,from now on; later; in the  future; backward,6
5167,往来,wǎng lái,back and forth; contact;  dealing; intercourse,6
5168,往年,wǎng nián,in previous years; in former  years,6
5169,望见,wàng jiàn,see; set eyes on,6
5170,危机,wēijī,crisis,6
5171,威胁,wēixié,threaten,6
5172,微波炉,wēi bō lú,microwave oven,6
5173,维生素,wéishēngsù,Vitamin,6
5174,为此,wèi cǐ,to this end; for this reason;  for this purpose,6
5175,为何,wèi hé,why; for what reason,6
5176,文娱,wén yú,cultural recreation;  entertainment,6
5177,卧铺,wò pù,sleeper; sleeping berth,6
5178,乌云,wū yún,dark clouds; black clouds,6
5179,无边,wú biān,boundless,6
5180,无关,wú guān,have nothing to do;  unrelated; irrelevant,6
5181,无效,wú xiào,invalid; null; to no avail; in  vain,6
5182,舞蹈,wǔdǎo,Dance,6
5183,物品,wù pǐn,article; goods; item,6
5184,误,wù,mistake; error; miss; by  mistake,6
5185,西班牙语,xī bān yá yǔ,Spanish language,6
5186,吸毒,xī dú,drug; drug addict,6
5187,牺牲,xīshēng,sacrifice,6
5188,洗衣粉,xǐ yī fěn,washing powder,6
5189,戏曲,xì qǔ,drama; Chinese opera,6
5190,细胞,xìbāo,Cells,6
5191,细菌,xìjūn,Bacteria,6
5192,先锋,xiān fēng,pioneer; vanguard,6
5193,嫌,xián,dislike and avoid,6
5194,显出,xiǎn chū,show; manifest,6
5195,险,xiǎn,danger; risk; danger;  dangerous; sinister; nearly,6
5196,线路,xiàn lù,line; route; circuit,6
5197,陷入,xiànrù,fall into,6
5198,响声,xiǎng shēng,sound; noise,6
5199,想不到,xiǎng bú dào,unexpected,6
5200,消耗,xiāohào,consume,6
5201,消灭,xiāomiè,eliminate,6
5202,小费,xiǎo fèi,tip,6
5203,小麦,xiǎomài,Wheat,6
5204,小于,xiǎo yú,less than,6
5205,晓得,xiǎo dé,know,6
5206,笑脸,xiào liǎn,smiley; smiling face,6
5207,笑容,xiào róng,smiling expression; smile,6
5208,笑声,xiào shēng,laughter; laughing,6
5209,协会,xiéhuì,association,6
5210,协商,xiéshāng,consult,6
5211,协调,xiétiáo,coordinate,6
5212,协助,xiézhù,assist,6
5213,写字楼,xiě zì lóu,office building,6
5214,写字台,xiě zì tái,writing desk; desk,6
5215,心灵,xīnlíng,Heart,6
5216,心愿,xīn yuàn,wish; aspiration,6
5217,心脏,xīnzàng,heart,6
5218,心脏病,xīn zàng bìng,heart disease,6
5219,新人,xīn rén,newcomer; new personality;  new talent,6
5220,新兴,xīn xīng,new; emerging; newly - developing,6
5221,薪水,xīnshui,salary,6
5222,信仰,xìnyǎng,Faith,6
5223,信用,xìn yòng,credit,6
5224,兴旺,xīngwàng,Prosperous,6
5225,行程,xíng chéng,travel; itinerary,6
5226,形,xíng,form; shape; body; entity;  appear; look,6
5227,凶,xiōng,fierce; ominous; terrible;  murder,6
5228,凶手,xiōngshǒu,Murderer,6
5229,修车,xiū chē,car repair; car repairing,6
5230,袖珍,xiù zhēn,pocket -size; pocket,6
5231,悬,xuán,hang; suspend; feel anxious;  outstanding; dangerous,6
5232,旋转,xuánzhuǎn,rotate,6
5233,选拔,xuǎnbá,Selection,6
5234,选举,xuǎnjǔ,Election,6
5235,学会,xué huì,learn; master; study,6
5236,学员,xué yuán,student; trainee,6
5237,血管,xuè guǎn,blood vessel; artery; vein,6
5238,血液,xuè yè,blood,6
5239,循环,xúnhuán,loop,6
5240,压迫,yāpò,Oppression,6
5241,烟花,yān huā,fireworks,6
5242,沿,yán,along; follow,6
5243,沿海,yánhǎi,coastal,6
5244,沿着,yán zhe,along,6
5245,研发,yán fā,research and development,6
5246,眼看,yǎn kàn,see; soon; in a moment;  watch helplessly,6
5247,演奏,yǎnzòu,Play,6
5248,宴会,yànhuì,banquet,6
5249,洋,yáng,ocean; vast; multitudinous;  foreign,6
5250,仰,yǎng,look up; face upward,6
5251,养老,yǎng lǎo,pension; provide for the  aged,6
5252,氧气,yǎngqì,oxygen,6
5253,样,yàng,appearance; shape; sample;  model; pattern; kind; type,6
5254,药品,yào pǐn,drug; medicine; medicament,6
5255,要不然,yào bù rán,otherwise,6
5256,要好,yào hǎo,be close friends; try hard to  make progress; better,6
5257,要么,yào,me or; either … or …,6
5258,要素,yàosù,Essential factor,6
5259,野,yě,open space; field; wild;  uncultivated; rude; rough;  out of office,6
5260,野生,yě shēng,wild; uncultivated; feral,6
5261,医药,yī yào,medicine; curative,6
5262,依次,yī cì,in proper order; successively,6
5263,依赖,yīlài,rely on,6
5264,一次性,yí cì xìng,disposable; single use,6
5265,一代,yí dài,generation,6
5266,一道,yí dào,together; a streak of,6
5267,一贯,yíguàn,consistent,6
5268,一路上,yí lù shàng,all the way; along the way,6
5269,仪器,yíqì,instrument,6
5270,仪式,yíshì,Ceremony,6
5271,遗憾,yíhàn,regret; pity,6
5272,一番,yì fān,some; one time,6
5273,一模一样,yì mú yí yàng,exactly the same; as like as  two peas,6
5274,一齐,yì qí,all together; simultaneously;  in unison,6
5275,一时,yì shí,for a short while; temporary;  momentary,6
5276,一同,yì tóng,together; at the same time  and place,6
5277,一行,yì xíng,delegation; a group  travelling together; party,6
5278,艺人,yì rén,actor; artist; artisan;  handicraftsman,6
5279,议题,yì tí,issue; topic for discussion;,6
5280,异常,yìcháng,abnormal,6
5281,意想不到,yì xiǎng bù dào,unexpected; surprising; out  of the blue; unpredicted,6
5282,意愿,yì yuàn,wish; desire; aspiration;  volitional,6
5283,因,yīn,cause; reason; because,6
5284,因素,yīnsù,Factor,6
5285,阴谋,yīnmóu,conspiracy,6
5286,阴影,yīn yǐng,shadow; shade,6
5287,音量,yīn liàng,volume; sound volume,6
5288,音像,yīn xiàng,audiovisual; audio -video,6
5289,隐藏,yǐn cáng,hide; hiding; conceal; put  out of sight,6
5290,隐私,yǐnsī,Privacy,6
5291,印,yìn,seal; stamp; mark; print;  impress,6
5292,英雄,yīngxióng,Hero,6
5293,迎来,yíng lái,usher in; greet,6
5294,影迷,yǐng mí,movie fan; film fan,6
5295,影星,yǐng xīng,movie star,6
5296,应对,yìng duì,reply; answer; respond; react,6
5297,应急,yìng jí,meet an urgent need; meet  an emergency; meet a  contingency,6
5298,用处,yòng chù,use; good; usefulness,6
5299,用得着,yòng de zháo,useful; need,6
5300,用法,yòng fǎ,usage; use,6
5301,用品,yòng pǐn,supplies; appliance,6
5302,用心,yòng xīn,attentively; intention;  diligently,6
5303,优质,yōu zhì,high quality; high grade,6
5304,游人,yóu rén,visitor; tourist; sightseer,6
5305,游玩,yóu wán,amuse; play; stroll; playing,6
5306,游戏机,yóu xì jī,game console; game  machine,6
5307,游行,yóu xíng,parade; march;  demonstration; procession,6
5308,有关,yǒu guān,related; concerning; relate;  concern,6
5309,有没有,yǒu méi yǒu,do you have…?; Have you  ever…? ; Is there any…?,6
5310,有事,yǒu shì,engaged; occupied; busy;  something,6
5311,于,yú,(preposition),6
5312,娱乐,yúlè,entertainment,6
5313,愉快,yúkuài,Cheerful,6
5314,与,yǔ,and,6
5315,宇航员,yǔ háng yuán,cosmonaut; astronaut,6
5316,雨衣,yǔ yī,raincoat,6
5317,预约,yù yuē,reservation; reserve; make  an appointment,6
5318,元素,yuánsù,element,6
5319,园,yuán,garden; an area of land for  growing plants; a place for  public recreation,6
5320,园地,yuán dì,garden; field,6
5321,原,yuán,primary; original; former;  raw; pardon; level,6
5322,原告,yuángào,accuser,6
5323,原谅,yuánliàng,Forgive,6
5324,圆珠笔,yuán zhū bǐ,ball point pen,6
5325,援助,yuán zhù,help; support; aid; back up,6
5326,缘故,yuángù,Reason,6
5327,远方,yuǎn fāng,distance,6
5328,远离,yuǎn lí,away; aloof; removed,6
5329,远远,yuǎn yuǎn,far away,6
5330,约定,yuē dìng,appoint; arrange; promise;  agreement,6
5331,乐曲,yuè qǔ,music; musical composition,6
5332,晕,yūn,faint,6
5333,允许,yǔnxǔ,allow,6
5334,运作,yùn zuò,operation; operate,6
5335,晕车,yùn chē,carsickness; motion sickness,6
5336,杂,zá,miscellaneous; varied; mixed;  mix,6
5337,再生,zài shēng,regeneration; regenerate;  revive,6
5338,再说,zài shuō,besides; put off until some  time later; say,6
5339,遭到,zāo dào,suffer; suffered; meet with,6
5340,遭受,zāoshòu,Suffer,6
5341,遭遇,zāoyù,encounter,6
5342,早晚,zǎo wǎn,sooner or later; morning and  evening; time; some day,6
5343,增进,zēng jìn,enhance; promote,6
5344,增值,zēng zhí,value -added; appreciation;  increase in value,6
5345,扎,zhā,Tie,6
5346,扎实,zhāshi,solid,6
5347,炸,zhà,explode; burst; bomb; flare  up,6
5348,炸弹,zhà dàn,bomb,6
5349,炸药,zhà yào,explosive; dynamite,6
5350,债,zhài,debt; loan; owing,6
5351,占据,zhànjù,Occupy,6
5352,战场,zhàn chǎng,battleground; battlefield,6
5353,战略,zhànlüè,strategy,6
5354,战术,zhànshù,tactics,6
5355,战友,zhàn yǒu,comrades in arms,6
5356,站台,zhàn tái,platform; railway platform,6
5357,章,zhāng,chapter; section; order;  regulation; seal,6
5358,长（秘书 长）,zhǎng （mì shū zhǎng ）,chief; head; leader (secretary  general),6
5359,掌声,zhǎng shēng,applause,6
5360,账,zhàng,account; debt,6
5361,账户,zhànghù,account,6
5362,涨,zhǎng,rise,6
5363,障碍,zhàng'ài,obstacle,6
5364,招,zhāo,recruit; trick; attract; beckon,6
